idx,subject,task,repetition,assisted,assistance,time,avg_dist,avg_force
258,V,Training3,10,True,0.25,19.612800000000107,0.0048666250208989,0.1325904290374439
259,V,Training3,11,True,0.25,18.039999999999964,0.0051860267854599,0.0153430415726819
260,V,Training3,2,True,1.0,21.23120000000005,0.0052672629629733,0.0025294593316947
261,V,Training3,3,True,0.75,36.79679999999999,0.0049649551398657,0.1037709824208512
262,V,Training3,4,True,0.75,28.86359999999999,0.0048482710382278,0.1119412553199342
263,V,Training3,5,True,0.75,17.245400000000018,0.0043752629448337,0.0100600265813024
264,V,Training3,6,True,0.5,29.818900000000014,0.0048671144267289,0.0468580995787786
265,V,Training3,7,True,0.5,16.57619999999997,0.0047573784547924,0.0119565484310937
266,V,Training3,8,True,0.5,20.27720000000005,0.0051187633161461,0.0012736832496781
267,V,Training3,9,True,0.25,18.573099999999954,0.004955380363815157,0.011696932503505925
