,subject,task,repetition,time,avg_dist,avg_force
75,5,Training1,3,1.766449999999999,0.006318330999999998,0.0
76,5,Training1,4,5.42015,0.006318330999999998,0.0
77,5,Training1,5,4.859869,0.006318330999999998,0.0
78,5,Training1,6,3.9333490000000007,0.006318330999999998,0.0
79,5,Training1,7,2.0038400000000003,0.006318330999999999,0.0
80,5,Training1,8,21.556749999999994,0.002292049251863426,0.1221991534546716
81,5,Training2,0,4.140499999999999,0.03759999776923077,3.0000000159990474
82,5,Training2,1,9.04027,0.027824535389221555,2.9999999787387757
83,5,Training2,2,9.999249999999998,0.01999414720379147,2.999999998496473
84,5,Training2,3,2.65315,0.03133145075471698,2.9999999476276513
85,5,Training3,0,25.791980000000002,0.004893515543968871,1.9142262036762714
86,X,Training1,0,16.82443,0.0031612756868913856,0.15705858034651574
87,X,Training1,1,19.34344,0.0023273085994791665,0.14533505343022524
88,X,Training1,2,15.987660000000005,0.002279803488752197,0.1689684734113495
89,X,Training1,3,20.3485,0.0015292707652218938,0.1288136948121774
90,X,Training1,4,24.025000000000006,0.0016540088532997846,0.1278736088087813
91,X,Training1,5,1.557930000000006,0.006318330999999998,0.0
92,X,Training2,0,28.708699999999993,0.0027338619264676615,0.11150732150263158
93,X,Training2,1,24.967299999999994,0.001816112304021938,0.03078443757755436
94,X,Training2,2,49.39749999999998,0.002174109779044944,0.013645554131727609
95,X,Training2,3,50.13839999999999,0.002385757037706511,0.055528341449076944
96,X,Training2,4,2.8780399999999986,0.025542048931297714,2.99999998324407
